DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:7.250,-00070.31,-00121.09, 00809.57, 00004.82,-00020.90,-00007.49, 00000.75,-00006.45, 00010.95, 00031.77
1970-1-1 0:0:7.295,-00059.08,-00028.81, 00896.97,-00001.89,-00022.33,-00008.53,-00000.75,-00007.20, 00012.15, 00031.58
1970-1-1 0:0:7.340,-00050.78,-00170.90, 00861.82, 00013.69,-00043.23,-00015.68,-00001.05,-00006.00, 00012.15, 00031.48
1970-1-1 0:0:7.385, 00016.11,-00192.87, 00868.65, 00017.37,-00050.29,-00014.84,-00004.35,-00007.05, 00011.25, 00031.77
1970-1-1 0:0:7.430, 00115.72,-00065.92, 00942.38, 00012.63,-00057.42,-00011.03,-00008.25,-00005.70, 00011.55, 00031.77
1970-1-1 0:0:7.475, 00119.63, 00396.48, 01280.27, 00164.95, 00238.89, 00012.69,-00010.20,-00000.90, 00015.00, 00031.86
1970-1-1 0:0:7.520,-00039.06, 00133.30, 00173.83, 00005.18, 00053.09,-00034.00,-00008.25,-00003.75, 00013.80, 00031.77
1970-1-1 0:0:7.565, 00263.18,-00352.05, 01014.65,-00011.06, 00007.57, 00008.39,-00009.00,-00001.80, 00015.45, 00031.72
1970-1-1 0:0:7.610, 00006.35,-00087.89, 01045.41,-00003.96,-00002.30,-00000.29,-00007.35,-00001.50, 00015.90, 00031.72
1970-1-1 0:0:7.655, 00006.84,-00089.84, 01027.83,-00000.43,-00002.34, 00002.89,-00007.05,-00001.80, 00014.70, 00032.01
1970-1-1 0:0:7.700, 00005.86,-00097.66, 01014.65, 00003.39,-00004.24, 00002.34,-00006.00,-00000.90, 00016.20, 00031.86
1970-1-1 0:0:7.745, 00027.83,-00063.96, 01020.51,-00001.81, 00003.21, 00000.27,-00008.85, 00000.75, 00015.90, 00031.86
1970-1-1 0:0:7.790, 00014.16,-00080.57, 01001.46,-00003.20,-00000.52,-00000.35,-00008.10,-00001.50, 00014.40, 00031.91
1970-1-1 0:0:7.835, 00009.28,-00079.10, 01009.28, 00002.22,-00002.32, 00000.86,-00009.00,-00001.35, 00015.00, 00032.01
1970-1-1 0:0:7.880, 00008.79,-00079.59, 01013.67, 00000.79,-00001.90, 00001.40,-00007.95,-00002.10, 00016.20, 00031.77
1970-1-1 0:0:7.925, 00010.74,-00064.94, 01033.20,-00003.85, 00001.02,-00001.85,-00009.00,-00001.35, 00015.45, 00031.72
1970-1-1 0:0:7.970, 00000.00,-00073.73, 01012.70,-00003.71, 00003.29,-00001.92,-00009.00,-00000.90, 00014.25, 00031.72
1970-1-1 0:0:8.015, 00011.72,-00086.43, 00993.16,-00008.50,-00001.11, 00002.40,-00006.60,-00001.20, 00014.10, 00031.91
1970-1-1 0:0:8.060,-00007.32,-00191.89, 00836.91,-00040.86, 00001.37, 00006.69,-00009.30,-00002.40, 00015.15, 00032.01
1970-1-1 0:0:8.105,-00020.02,-00190.92, 01101.56,-00035.97,-00005.66, 00002.80,-00007.65,-00003.90, 00013.65, 00031.91
1970-1-1 0:0:8.150, 00072.75,-00222.66, 01258.79, 00003.24,-00042.08,-00001.55,-00009.00,-00004.50, 00013.50, 00031.91
1970-1-1 0:0:8.195, 00012.21,-00153.32, 01058.59, 00012.07,-00038.14,-00002.61,-00010.50,-00005.55, 00011.70, 00031.67
1970-1-1 0:0:8.240, 00093.26,-00131.35, 00939.45, 00008.24, 00009.60, 00004.05,-00010.95,-00003.75, 00013.05, 00031.58
1970-1-1 0:0:8.285, 00043.95,-00131.84, 01054.69, 00003.81, 00048.60, 00004.47,-00008.25,-00004.50, 00012.30, 00031.91
1970-1-1 0:0:8.352, 00016.60,-00130.86, 01100.10, 00003.79, 00032.81, 00006.30,-00008.10,-00003.90, 00012.90, 00031.72
1970-1-1 0:0:8.419,-00006.35,-00148.93, 01020.02, 00008.21,-00001.52, 00001.48,-00004.80,-00004.50, 00013.50, 00031.91
1970-1-1 0:0:8.486, 00008.79,-00063.96, 00982.42,-00010.39,-00000.05, 00001.76,-00004.95,-00005.10, 00012.15, 00031.67
1970-1-1 0:0:8.553,-00056.15,-00132.32, 00936.52,-00011.73, 00014.53, 00009.21,-00002.70,-00006.45, 00011.40, 00031.86
1970-1-1 0:0:8.620,-00027.83,-00124.51, 00902.83,-00018.70, 00016.82, 00004.00,-00002.40,-00007.05, 00011.55, 00031.67
1970-1-1 0:0:8.687,-00063.96,-00145.02, 00884.28,-00013.44, 00009.37, 00005.12,-00001.50,-00007.20, 00010.20, 00031.91
1970-1-1 0:0:8.754,-00040.04,-00088.38, 00831.54,-00010.69, 00012.44, 00003.37,-00000.15,-00007.80, 00008.85, 00031.86
1970-1-1 0:0:8.799,-00116.21,-00098.63, 00896.97, 00004.34, 00000.77, 00005.89,-00000.75,-00008.40, 00009.15, 00031.53
1970-1-1 0:0:8.844,-00096.19,-00101.07, 00903.32,-00005.88,-00011.01, 00002.06, 00000.45,-00008.25, 00010.80, 00031.86
1970-1-1 0:0:8.889,-00119.63,-00151.86, 00917.48,-00012.24,-00015.78,-00005.21, 00000.90,-00010.65, 00010.80, 00031.72
1970-1-1 0:0:8.934,-00092.29,-00157.71, 00860.35,-00005.70,-00013.78,-00011.31,-00002.25,-00008.85, 00008.70, 00031.67
1970-1-1 0:0:8.979,-00032.23,-00152.34, 00778.32, 00009.84,-00010.07,-00008.96,-00001.05,-00008.40, 00010.20, 00031.91
1970-1-1 0:0:9.024,-00024.41,-00117.19, 00823.73, 00001.07,-00006.53,-00006.62,-00001.80,-00007.95, 00009.90, 00031.91
1970-1-1 0:0:9.069,-00022.46,-00157.71, 00857.91,-00001.98,-00012.68,-00008.87,-00003.30,-00008.55, 00012.00, 00031.67
1970-1-1 0:0:9.114,-00021.48,-00154.79, 00795.90, 00009.53,-00017.73,-00006.33,-00004.80,-00008.25, 00010.05, 00031.86
1970-1-1 0:0:9.159,-00018.55,-00170.90, 00795.41, 00015.20,-00035.95,-00007.48,-00004.35,-00006.60, 00012.00, 00031.91
1970-1-1 0:0:9.204, 00045.41,-00077.15, 00810.06, 00009.82,-00074.73,-00007.27,-00008.10,-00006.75, 00013.35, 00031.86
1970-1-1 0:0:9.249,-00172.36, 00388.18, 01991.70, 00250.13, 00180.93, 00037.93,-00010.20,-00006.60, 00013.05, 00032.01
1970-1-1 0:0:9.294, 00125.98,-00291.50, 00439.45,-00038.44,-00054.63, 00009.94,-00008.10,-00002.40, 00016.35, 00032.01
1970-1-1 0:0:9.339,-00196.78, 00093.75, 01317.38, 00067.63,-00029.19, 00018.84,-00009.30,-00002.40, 00014.85, 00031.86
1970-1-1 0:0:9.384, 00036.13,-00026.86, 00972.66,-00012.32,-00001.02,-00000.69,-00007.65,-00001.50, 00016.35, 00031.72
1970-1-1 0:0:9.429, 00022.46,-00026.37, 01001.95, 00010.86, 00001.28,-00000.15,-00008.10,-00002.70, 00016.35, 00031.72
1970-1-1 0:0:9.474, 00020.02,-00063.48, 01015.62,-00001.34,-00000.08,-00000.60,-00008.25,-00001.80, 00015.75, 00031.91
1970-1-1 0:0:9.519, 00010.74,-00044.43, 00984.38,-00000.93,-00001.31, 00000.76,-00009.00,-00000.60, 00016.50, 00031.58
1970-1-1 0:0:9.564,-00006.84,-00072.75, 01011.23,-00001.90, 00001.81,-00000.36,-00008.55,-00001.95, 00015.15, 00031.86
1970-1-1 0:0:9.609, 00016.11,-00047.85, 00995.12,-00002.03,-00000.86, 00004.15,-00008.85,-00001.95, 00015.15, 00031.86
1970-1-1 0:0:9.654, 00018.55,-00058.11, 01009.28,-00000.24,-00002.80, 00002.60,-00007.35,-00001.50, 00016.95, 00031.72
1970-1-1 0:0:9.699, 00014.65,-00068.85, 01007.81,-00003.67,-00001.73, 00000.92,-00008.25,-00002.10, 00015.75, 00031.72
1970-1-1 0:0:9.744,-00003.42,-00061.52, 01000.98,-00004.60, 00002.33,-00000.78,-00007.50,-00000.15, 00016.50, 00031.91
1970-1-1 0:0:9.811, 00005.37,-00047.85, 01005.37,-00013.37, 00003.17,-00000.37,-00006.75,-00002.10, 00015.45, 00032.01
1970-1-1 0:0:9.878, 00019.04,-00092.29, 01021.48,-00006.42, 00003.38, 00006.18,-00006.90,-00002.40, 00014.85, 00032.20
1970-1-1 0:0:9.945,-00025.88,-00109.86, 00969.73,-00005.44, 00013.25,-00001.47,-00007.95,-00003.30, 00014.70, 00031.91
1970-1-1 0:0:10.012,-00069.82,-00010.25, 01070.80, 00051.81, 00035.63, 00005.98,-00006.30,-00002.10, 00016.20, 00031.91
1970-1-1 0:0:10.079,-00092.29,-00001.46, 01182.62, 00079.26, 00036.56, 00010.99,-00003.60, 00001.80, 00016.95, 00032.01
1970-1-1 0:0:10.146,-00103.52, 00125.49, 01016.11, 00095.15, 00015.48, 00004.85,-00000.90, 00007.35, 00018.90, 00032.01
1970-1-1 0:0:10.213,-00104.98, 00137.21, 00836.91, 00064.31, 00010.32,-00000.14, 00002.10, 00012.60, 00019.95, 00031.72
1970-1-1 0:0:10.258,-00128.91, 00167.97, 00945.31, 00047.05,-00001.33,-00011.11, 00001.65, 00015.90, 00018.45, 00031.91
1970-1-1 0:0:10.303,-00148.93, 00209.47, 00893.55, 00033.30,-00009.25,-00022.85, 00003.00, 00016.50, 00019.35, 00032.01
1970-1-1 0:0:10.348,-00152.34, 00287.11, 00890.14, 00017.00, 00003.92,-00027.25, 00001.80, 00016.50, 00019.05, 00032.06
1970-1-1 0:0:10.393,-00149.41, 00321.29, 00915.53,-00000.29, 00007.12,-00023.12, 00001.50, 00017.70, 00020.10, 00031.72
1970-1-1 0:0:10.438,-00176.27, 00594.24, 00884.77,-00000.68,-00006.79,-00002.53, 00003.00, 00018.45, 00019.05, 00031.77
1970-1-1 0:0:10.483,-00166.02, 00282.23, 00916.50,-00015.67,-00011.95, 00001.98, 00001.35, 00018.30, 00019.65, 00031.67
1970-1-1 0:0:10.528,-00176.27, 00218.26, 00959.96,-00037.98, 00002.00,-00001.35, 00002.10, 00016.65, 00019.95, 00031.86
